"id","average_wind_speed","gust_wind_speed","wind_direction","rainfall","temperature","humidity","light","uvi","station_name","timestamp"
354,"0","0","30","0","21","32","18","0","b0","2022-02-15 09:30:49.559363+01"
353,"0","0","29","0","21","31","20","0","b0","2022-02-15 09:28:57.726711+01"
352,"0","3","29","0","20","31","22","0","b0","2022-02-15 09:23:53.491484+01"
351,"0","3","38","0","21","31","19","0","b0","2022-02-15 09:22:17.498202+01"
350,"4","10","34","0","21","31","18","0","b0","2022-02-15 09:16:57.528739+01"
349,"0","3","28","0","20","31","20","0","b0","2022-02-15 09:10:49.514377+01"
348,"0","3","26","0","20","31","22","0","b0","2022-02-15 09:04:25.470905+01"
347,"0","3","35","0","20","31","17","0","b0","2022-02-15 08:57:45.439417+01"
346,"0","0","38","0","20","31","15","0","b0","2022-02-15 08:56:09.461716+01"
345,"0","3","22","0","20","30","12","0","b0","2022-02-15 08:51:37.465524+01"
344,"7","10","28","0","20","30","11","0","b0","2022-02-15 08:43:37.515674+01"
343,"0","0","1","0","20","30","6","0","b4","2022-02-15 08:15:53.390356+01"
342,"0","0","1","0","20","30","142","6","b4","2022-02-15 08:07:37.472293+01"
341,"0","0","1","0","20","31","176","1","b4","2022-02-15 07:31:37.294654+01"
340,"0","0","1","0","20","31","0","0","b4","2022-02-15 07:21:29.270154+01"
339,"0","0","1","0","20","31","0","0","b4","2022-02-15 07:15:05.268656+01"
338,"0","0","1","0","20","31","0","0","b4","2022-02-15 06:52:09.21068+01"
337,"0","0","1","0","20","31","0","0","b4","2022-02-15 06:19:53.133467+01"
336,"0","0","1","0","20","31","0","0","b4","2022-02-15 06:03:37.097056+01"
335,"0","0","1","0","20","32","0","0","b4","2022-02-15 03:55:36.776697+01"
334,"0","0","1","0","20","32","0","0","b4","2022-02-15 03:50:00.774012+01"
333,"28","58","241","304","98","18","254","61","fb","2022-02-15 03:18:29.766682+01"
332,"0","0","1","0","20","32","0","0","b4","2022-02-15 02:02:00.569959+01"
331,"0","0","1","0","20","32","0","0","b4","2022-02-15 00:56:08.421404+01"
330,"0","0","1","0","20","32","0","0","b4","2022-02-15 00:54:16.514233+01"
329,"0","0","1","0","20","32","0","0","b4","2022-02-15 00:27:52.373162+01"
328,"0","0","1","0","21","30","0","0","b4","2022-02-14 20:23:36.630744+01"
327,"0","0","1","0","21","30","0","0","b4","2022-02-14 20:02:47.78823+01"
326,"0","0","1","0","21","30","0","0","b4","2022-02-14 20:02:31.886572+01"
325,"0","0","1","0","21","31","0","0","b4","2022-02-14 19:30:31.72083+01"
324,"0","0","60","0","21","31","1","0","b4","2022-02-14 17:15:35.472717+01"
323,"0","0","61","0","21","31","0","0","b4","2022-02-14 17:14:47.369121+01"
322,"0","0","61","0","21","31","1","0","b4","2022-02-14 17:14:00.480694+01"
321,"0","0","60","0","21","31","0","0","b4","2022-02-14 17:11:03.373463+01"
320,"0","0","61","0","21","31","1","0","b4","2022-02-14 17:07:51.504479+01"
319,"12","17","25","0","21","32","2","0","b0","2022-02-14 16:32:39.328469+01"
318,"21","26","24","0","21","33","2","0","b0","2022-02-14 16:12:07.287248+01"
317,"0","0","241","0","21","32","3","0","b0","2022-02-14 16:04:39.267779+01"
316,"0","0","241","0","21","32","3","0","b0","2022-02-14 16:03:51.261174+01"
315,"0","0","241","0","21","31","3","0","b0","2022-02-14 15:59:03.24762+01"
314,"0","0","241","0","21","30","3","0","b0","2022-02-14 15:55:19.207028+01"
313,"0","0","241","0","21","31","3","0","b0","2022-02-14 15:51:35.23923+01"
312,"0","0","241","0","21","32","4","0","b0","2022-02-14 15:48:39.225927+01"
311,"0","0","241","0","21","31","4","0","b0","2022-02-14 15:44:23.220873+01"
310,"0","0","241","0","21","31","5","0","b0","2022-02-14 15:42:15.176459+01"
309,"0","0","241","0","21","32","5","0","b0","2022-02-14 15:38:15.330366+01"
308,"13","13","62","78","21","32","96","0","b0","2022-02-14 15:06:13.383956+01"
307,"0","0","83","9","20","31","0","0","bc","2022-02-14 14:56:05.461674+01"
306,"0","0","84","9","21","31","0","0","bc","2022-02-14 14:52:53.354531+01"
305,"20","23","71","252","21","31","105","6","b4","2022-02-14 14:46:29.346739+01"
304,"1","3","92","252","21","31","119","6","b4","2022-02-14 14:43:33.333789+01"
303,"2","3","97","252","21","31","122","2","b4","2022-02-14 14:39:49.324176+01"
302,"1","7","99","177","21","31","117","6","b4","2022-02-14 14:34:45.313513+01"
301,"9","10","98","207","21","31","118","7","b4","2022-02-14 14:28:53.255342+01"
300,"7","10","78","117","21","31","120","4","b4","2022-02-14 14:27:33.399313+01"
299,"7","10","92","42","21","31","121","6","b4","2022-02-14 14:25:57.412222+01"
298,"7","10","20","108","21","30","128","7","b4","2022-02-14 14:16:53.730862+01"
297,"0","0","7","27","21","30","41","0","b4","2022-02-14 14:08:37.263121+01"
296,"0","0","95","126","21","31","23","0","b4","2022-02-14 14:01:09.243396+01"
295,"0","0","37","126","21","31","14","0","b4","2022-02-14 13:56:53.237046+01"
294,"0","0","236","126","21","31","18","0","b0","2022-02-14 13:56:21.23808+01"
293,"0","0","24","72","21","30","21","0","b4","2022-02-14 13:54:29.226516+01"
292,"0","0","3","36","21","30","109","5","b0","2022-02-14 13:52:05.232047+01"
291,"0","0","71","36","21","30","39","0","b4","2022-02-14 13:49:25.17005+01"
290,"0","0","71","36","21","30","39","0","b4","2022-02-14 13:49:09.214998+01"
289,"0","0","71","36","21","30","39","0","b4","2022-02-14 13:43:33.20922+01"
